id,name,country,status,formed_in,active
35943,Ahnenerbe,Germany,Active,2003,2003-2006
35944,Akhenaten,United States,Active,2012,2012-present
35945,Aktiv Dödshjälp,Sweden,Active,2004,2004-present
35946,Alavena,Chile,Active,2007,2007-present
35947,Alekhine's Gun,United States,Active,2010,2010-present
35948,Algor Mortis,Hungary,Active,2000,2000-present
35949,All Consumed,United Kingdom,Active,2012,2012-present
35950,Ambassador Gun,United States,Split-up,2002,2002-2016
35951,Ambryo,France,Active,2000,2000-present
35952,Amidst the Chaos,India,Split-up,2006,2006-?
35953,Amok,Norway,Unknown,2000,2000-?
35954,An Act of Treachery,Austria,Active,2010,2010-present
35955,Anak Tomb,Finland,Changed name,N/A,2001-? (as Wrath)| ?-? (as Insane Wrath)| ?-? (as Architects of Vengeance)| ?-?| 2006-present (as Insane Wrath)
35956,Analizator,Serbia,Active,2003,2003-present
35957,Anatriz,Brazil,Active,2002,2002-present
35958,Anaxim,United States,Split-up,2004,2004-?
35959,And Hope to Die,United States,Active,N/A,N/A
35960,And Plagues Will Follow,Germany,Split-up,2009,2009-2012
35961,And Summer Dies,France,Active,2003,2003-present
35962,And the Angels Die,France,Split-up,2005,2005-2008
35963,Anesthesia,Indonesia,Active,2006,1999-2006 (as Ajjal)| 2006-present
35964,Angel Grave,United States,Active,2011,2011-present
35965,AngelGrunt & Deamon's Harp,Austria,Split-up,2006,2006-2013
35966,Anger Within,United States,Active,1991,1991-present
35967,Annalist,Poland,Active,1991,1991-2000| 2012-present
35968,Anomalia,Argentina,Active,2004,2004-present
35969,Antagony,France,Split-up,1995,1995-?
35970,Aohen,Taiwan,Active,N/A,N/A
35971,Apathy Arising,United States,Split-up,2006,2006-2011
35972,Apocalyptic Christ,United States,Active,2003,2003-present
35973,Appalling Spawn,Czech Republic,Changed name,1995,1995-1999| 1999-2002 (as Lykathea Aflame)| 2002-? (as Lykathé)
35974,Applaud the Impaler,United States,Active,2008,2008-present
35975,Arbrynth,Australia,Active,2006,2006-present
35976,Arch Goat of Sodomy,United States,Active,2001,2001-present
35977,Archevil,Canada,Split-up,1999,1999-?
35978,Argile,France,Active,1997,1997-present
35979,Arise in Stability,Japan,Active,2004,2004-present
35980,Arkhamin Kirjasto,Finland,Active,2010,2010-present
35981,Arkia,Finland,Split-up,2008,2008-?
