id,album,score
400,565,0.8
401,565,0.8
402,565,0.3
403,565,0.78
404,565,0.9
405,565,0.68
406,565,0.85
407,565,0.85
408,566,0.85
409,566,0.95
410,566,0.2
411,566,0.97
412,566,0.99
413,566,1.0
414,566,1.0
415,566,0.9
416,566,0.95
417,566,1.0
418,567,0.83
419,567,0.78
420,567,0.9
421,567,0.75
422,567,0.9
423,567,0.68
424,567,0.6
425,567,0.92
426,567,0.48
427,567,0.6
428,567,0.75
429,567,0.57
430,568,0.62
431,568,0.8
432,568,0.95
433,568,0.8
434,568,0.75
435,568,0.9
436,568,0.89
437,571,0.97
438,571,0.82
439,573,0.6
440,573,0.8
441,586,0.7
442,591,0.8
443,610,0.78
444,611,0.85
445,611,0.75
446,615,0.89
447,615,0.83
448,615,0.75
449,615,0.88
450,615,0.84
451,615,0.81
452,615,0.85
453,615,0.8
454,615,0.88
455,615,0.57
456,615,0.66
457,615,0.91
458,615,0.9
459,616,0.96
460,616,1.0
461,616,0.9
462,616,1.0
463,616,1.0
464,616,0.98
465,616,0.95
466,616,0.92
467,616,1.0
468,616,0.95
469,616,1.0
470,616,0.94
471,616,0.89
472,616,0.93
473,616,0.95
474,616,0.9
475,616,1.0
476,616,0.8
477,616,0.8
478,617,0.85
479,617,0.73
480,617,1.0
481,617,0.8
482,617,0.98
483,617,0.88
484,617,0.85
485,617,0.87
486,617,0.89
487,618,0.98
488,618,0.85
489,618,0.91
490,618,0.7
491,618,0.94
492,618,0.96
493,618,1.0
494,618,0.95
495,618,0.93
496,618,0.95
497,618,0.92
498,618,0.96
499,618,0.73
500,619,0.8
501,619,0.9
502,619,0.95
503,619,0.88
504,619,0.95
505,619,0.95
506,619,0.92
507,619,0.96
508,619,0.82
509,620,0.82
510,620,0.65
511,620,0.7
512,620,0.93
513,620,0.52
514,620,0.8
515,620,0.8
516,620,0.6
517,620,0.8
518,620,0.66
519,620,0.96
520,621,0.62
521,621,0.9
522,621,0.9
523,621,0.6
524,621,0.88
525,621,1.0
526,621,0.92
527,621,0.81
528,621,0.78
529,621,0.64
530,621,0.87
531,621,0.6
532,622,0.98
533,622,0.9
534,622,1.0
535,622,0.93
536,622,0.95
537,622,0.85
538,622,0.9
539,622,0.91
540,622,0.88
541,622,0.96
542,622,0.88
543,622,0.9
544,622,0.85
545,622,0.97
546,622,0.95
547,622,0.95
548,625,0.88
549,625,0.45
550,625,0.27
551,626,0.91
552,627,0.73
553,628,0.76
554,628,0.85
555,638,0.8
556,655,0.8
557,655,0.81
558,655,0.38
559,655,0.85
560,655,0.65
561,655,0.4
562,656,0.47
563,656,0.95
564,657,0.15
565,657,1.0
566,657,0.25
567,658,0.89
568,658,0.84
569,659,0.98
570,659,0.7
571,659,0.3
572,659,0.25
573,660,0.71
574,660,0.75
575,660,0.8
576,660,0.0
577,661,0.85
578,669,0.95
579,669,0.65
580,676,1.0
581,676,0.83
582,676,0.99
583,676,0.92
584,676,0.9
585,676,0.92
586,677,0.85
587,677,0.89
588,678,0.72
589,678,0.85
590,679,0.82
591,679,0.77
592,680,0.79
593,680,0.85
594,680,0.85
595,680,0.75
596,682,0.8
597,686,0.93
598,686,0.95
599,696,0.9
600,696,0.9
601,697,0.86
602,701,0.65
603,709,0.8
604,716,0.58
605,716,0.85
606,716,0.8
607,724,0.81
608,737,0.95
609,737,1.0
610,741,0.65
611,742,0.8
612,743,0.9
613,744,0.9
614,754,0.82
615,754,0.81
616,754,0.91
617,755,0.88
618,755,1.0
619,755,0.96
620,755,0.95
621,755,0.9
622,756,0.8
623,756,0.9
624,756,0.95
625,756,0.82
626,757,0.65
627,757,0.68
628,758,0.83
629,758,0.81
630,758,0.89
631,758,0.67
632,758,0.9
633,758,0.7
634,758,0.81
635,758,0.98
636,758,0.94
637,758,0.76
638,759,0.85
639,759,0.51
640,759,0.99
641,759,0.87
642,759,0.6
643,759,0.42
644,759,0.97
645,759,0.7
646,759,0.88
647,759,0.73
648,759,0.65
649,759,0.29
650,759,0.96
651,759,0.8
652,759,0.95
653,760,0.38
654,760,0.95
655,760,0.97
656,760,0.66
657,760,1.0
658,760,0.78
659,760,0.59
660,760,0.41
661,760,0.97
662,760,0.9
663,760,0.98
664,760,0.95
665,760,0.9
666,760,0.95
667,760,0.85
668,760,0.99
669,760,0.92
670,760,0.64
671,760,1.0
672,761,0.9
673,761,0.86
674,761,0.89
675,761,0.85
676,761,0.78
677,761,0.82
678,761,0.55
679,761,0.83
680,761,0.65
681,761,0.77
682,761,1.0
683,761,0.78
684,761,0.95
685,761,0.15
686,761,0.9
687,761,0.4
688,762,0.9
689,762,0.51
690,762,0.35
691,762,0.68
692,762,0.49
693,762,0.01
694,762,0.9
695,762,0.78
696,762,0.56
697,762,1.0
698,762,0.65
699,762,1.0
700,763,0.9
701,763,0.84
702,763,0.85
703,763,0.79
704,763,1.0
705,763,0.59
706,763,0.85
707,763,0.38
708,763,0.2
709,763,0.72
710,764,1.0
711,764,0.7
712,764,1.0
713,764,0.61
714,764,0.9
715,764,0.94
716,764,0.97
717,764,0.87
718,764,0.85
719,764,0.91
720,764,0.9
721,765,0.93
722,765,0.85
723,765,0.83
724,765,0.87
725,765,0.05
726,765,0.88
727,765,0.9
728,765,0.85
729,766,0.89
730,766,0.59
731,766,0.8
732,766,0.7
733,766,0.85
734,766,0.69
735,766,1.0
736,766,0.97
737,766,0.8
738,766,0.86
739,766,0.85
740,766,0.87
741,766,0.65
742,766,0.72
743,766,0.92
744,767,0.55
745,767,0.95
746,767,0.71
747,767,0.8
748,767,0.9
749,767,0.88
750,767,0.82
751,767,0.9
752,767,0.9
753,767,0.95
754,767,0.88
755,767,0.85
756,767,0.88
757,767,0.55
758,767,0.75
759,767,0.89
760,767,0.95
761,767,0.29
762,767,0.81
763,767,0.96
764,767,0.9
765,767,0.87
766,768,0.9
767,768,0.2
768,768,0.54
769,768,0.97
770,768,0.9
771,768,0.82
772,768,0.2
773,768,0.7
774,768,0.79
775,768,0.76
776,768,0.13
777,768,0.79
778,768,0.6
779,768,0.85
780,768,0.9
781,768,0.85
782,768,0.8
783,768,0.85
784,768,0.85
785,768,0.85
786,768,0.79
787,769,0.95
788,769,0.85
789,769,0.5
790,769,0.95
791,769,0.9
792,769,1.0
793,769,0.75
794,769,0.93
795,769,0.88
796,769,0.85
797,769,0.3
798,769,0.92
799,769,0.9
800,769,0.73
801,769,0.9
802,769,0.91
803,769,0.87
804,770,0.65
805,770,0.85
806,770,0.96
807,770,0.89
808,770,0.75
809,770,0.9
810,770,0.8
811,770,0.96
812,770,0.84
813,770,0.83
814,770,0.95
815,770,0.92
816,770,0.9
817,770,0.85
818,775,0.65
819,775,0.9
820,776,0.85
821,776,0.9
822,777,0.8
823,777,0.75
824,778,0.85
825,778,0.72
826,778,0.76
827,778,0.7
828,779,0.95
829,781,0.8
830,781,0.89
831,781,0.95
832,781,0.9
833,781,0.85
834,788,0.85
835,788,0.78
836,791,0.8
837,807,0.9
838,810,0.72
839,814,0.44
840,814,0.7
841,814,0.65
842,826,0.9
843,827,0.75
844,831,0.88
845,832,0.9
846,832,0.82
847,832,0.8
848,833,0.7
849,833,0.87
850,833,0.76
851,834,0.8
852,834,0.85
853,835,0.8
854,835,0.8
855,835,0.84
856,836,0.6
857,836,0.85
858,836,0.7
859,837,0.83
860,837,0.7
861,838,0.85
862,838,0.7
863,839,0.56
864,840,0.83
865,841,0.8
866,841,0.86
867,841,0.77
868,842,0.7
869,842,0.92
870,843,0.95
871,843,0.85
872,843,0.85
873,845,0.66
874,845,0.6
875,845,0.68
876,845,0.85
877,845,0.7
878,845,0.77
879,845,0.67
880,851,0.82
881,851,0.8
882,852,0.65
883,853,0.9
884,855,0.65
885,856,0.9
886,858,0.95
887,861,0.35
888,862,0.66
889,871,0.8
890,883,0.85
891,883,0.8
892,884,0.85
893,884,0.85
894,884,0.84
895,884,0.85
896,884,0.85
897,884,0.82
898,884,0.82
899,885,0.8
900,885,0.75
901,885,0.6
902,885,0.55
903,885,0.8
904,886,0.6
905,888,0.9
906,888,0.9
907,888,0.95
908,888,0.75
909,888,0.72
910,889,0.76
911,889,0.8
912,889,0.83
913,889,0.72
914,889,0.82
915,890,0.8
916,890,0.85
917,893,0.8
918,897,0.67
919,900,0.9
920,900,0.9
921,904,0.8
922,905,0.7
923,911,0.95
924,911,0.9
925,911,0.6
926,911,0.84
927,911,0.15
928,911,0.99
929,911,0.95
930,911,0.92
931,913,0.62
932,913,0.85
933,926,0.65
934,927,0.85
935,932,0.82
936,934,0.79
937,935,0.08
938,939,0.9
939,943,0.5
940,946,0.81
941,947,0.7
942,947,0.89
943,947,0.55
944,952,0.85
945,952,0.88
946,952,0.77
947,953,0.98
948,953,0.82
949,953,0.78
950,954,0.87
951,962,0.8
952,968,0.2
953,969,0.8
954,970,0.8
955,970,0.9
956,970,0.75
957,977,0.87
958,978,0.93
959,979,0.2
960,982,0.75
961,1004,0.8
962,1005,0.82
963,1005,0.87
964,1007,0.96
965,1007,0.85
966,1007,0.75
967,1007,0.94
968,1007,0.85
969,1007,0.98
970,1007,1.0
971,1008,0.91
972,1009,0.88
973,1009,0.77
974,1009,0.56
975,1010,0.6
976,1015,0.85
977,1021,0.8
978,1022,0.8
979,1028,0.85
980,1028,0.85
981,1028,0.95
982,1029,0.85
983,1030,0.78
984,1031,0.75
985,1032,0.68
986,1037,0.72
987,1037,0.63
988,1048,0.85
989,1048,0.85
990,1048,0.75
991,1048,0.88
992,1062,0.62
993,1062,0.85
994,1062,0.88
995,1067,0.75
996,1067,0.6
997,1067,0.7
998,1070,0.35
999,1070,0.7
1000,1082,0.7
1001,1083,0.65
1002,1087,0.98
1003,1087,0.9
1004,1088,0.97
1005,1089,0.9
1006,1106,0.87
1007,1106,0.98
1008,1107,0.87
1009,1108,0.95
1010,1112,0.7
1011,1113,0.84
1012,1114,0.67
1013,1115,1.0
1014,1120,0.45
1015,1122,0.67
1016,1129,0.71
1017,1130,0.72
1018,1131,0.2
1019,1131,0.76
1020,1131,0.65
1021,1131,0.65
1022,1131,0.74
1023,1132,0.7
1024,1132,0.78
1025,1132,0.79
1026,1142,0.81
1027,1142,0.8
1028,1143,0.8
1029,1143,0.9
1030,1143,0.83
1031,1143,0.37
1032,1143,0.92
1033,1143,0.9
1034,1144,0.75
1035,1144,0.82
1036,1146,0.65
1037,1146,0.92
1038,1149,0.65
1039,1157,0.65
1040,1163,0.63
1041,1163,0.7
1042,1163,0.6
1043,1164,0.79
1044,1168,0.85
1045,1168,0.75
1046,1173,0.68
1047,1175,0.5
1048,1175,0.77
1049,1175,0.65
1050,1176,0.72
1051,1177,0.65
1052,1188,0.7
1053,1193,0.6
1054,1194,0.84
1055,1202,0.8
1056,1203,0.35
1057,1215,0.7
1058,1215,0.94
1059,1215,0.95
1060,1216,0.82
1061,1216,0.97
1062,1216,0.87
1063,1217,0.84
1064,1217,0.9
1065,1217,0.8
1066,1221,0.8
1067,1221,0.48
1068,1221,0.98
1069,1222,0.6
1070,1224,0.55
1071,1226,0.81
1072,1232,0.65
1073,1234,0.73
1074,1236,0.75
1075,1237,0.85
1076,1238,0.78
1077,1239,0.8
1078,1246,1.0
1079,1246,0.9
1080,1246,0.95
1081,1246,0.98
1082,1246,0.95
1083,1246,0.52
1084,1246,0.95
1085,1246,1.0
1086,1246,0.9
1087,1246,0.75
1088,1246,0.89
1089,1246,1.0
1090,1246,0.9
1091,1247,0.95
1092,1247,0.8
1093,1247,0.95
1094,1247,0.77
1095,1247,0.95
1096,1248,0.77
1097,1249,0.8
1098,1262,0.8
1099,1282,0.75
1100,1286,0.93
1101,1295,0.84
1102,1295,0.9
1103,1295,0.82
1104,1295,0.73
1105,1295,0.83
1106,1295,0.94
1107,1295,0.3
1108,1296,0.3
1109,1301,0.0
1110,1303,0.83
1111,1313,0.85
1112,1316,1.0
1113,1318,0.6
1114,1318,0.92
1115,1318,0.85
1116,1318,0.8
1117,1318,0.77
1118,1318,0.89
1119,1318,0.77
1120,1331,0.7
1121,1332,1.0
1122,1332,0.91
1123,1332,0.98
1124,1337,0.63
1125,1341,0.52
1126,1345,0.8
1127,1345,0.67
1128,1350,0.65
1129,1359,0.82
1130,1360,0.9
1131,1361,0.8
1132,1361,0.85
1133,1366,0.8
1134,1367,0.55
1135,1367,0.85
1136,1367,0.9
1137,1368,0.8
1138,1369,0.94
1139,1377,0.87
1140,1378,0.85
1141,1392,0.7
1142,1394,0.7
1143,1394,1.0
1144,1395,0.7
1145,1395,0.97
1146,1395,0.75
1147,1396,0.87
1148,1396,0.98
1149,1396,0.9
1150,1396,0.88
1151,1396,0.8
1152,1396,0.75
1153,1399,0.34
1154,1402,0.57
1155,1403,0.7
1156,1404,0.75
1157,1405,0.65
1158,1407,0.7
1159,1413,0.95
1160,1414,0.85
1161,1417,0.62
1162,1417,0.73
1163,1418,1.0
1164,1426,0.91
1165,1426,0.9
1166,1426,0.89
1167,1426,0.7
1168,1426,0.95
1169,1426,0.9
1170,1426,0.88
1171,1426,0.94
1172,1426,0.8
1173,1426,0.99
1174,1426,0.9
1175,1426,1.0
1176,1427,0.88
1177,1427,1.0
1178,1427,1.0
1179,1427,1.0
1180,1427,0.58
1181,1427,0.59
1182,1427,0.78
1183,1427,0.9
1184,1427,1.0
1185,1427,0.98
1186,1427,0.93
1187,1427,0.91
1188,1427,0.9
1189,1427,1.0
1190,1427,0.87
1191,1427,0.95
1192,1427,1.0
1193,1427,0.97
1194,1427,0.99
1195,1427,0.99
1196,1427,0.98
1197,1427,0.95
1198,1427,1.0
1199,1428,0.98
1200,1428,0.65
1201,1428,0.7
1202,1428,0.75
1203,1428,0.9
1204,1428,0.73
1205,1428,0.64
1206,1428,0.5
1207,1428,0.87
1208,1428,0.75
1209,1429,0.78
1210,1429,0.68
1211,1429,0.9
1212,1429,0.85
1213,1429,0.77
1214,1429,0.95
1215,1429,0.85
1216,1429,0.96
1217,1430,0.85
1218,1430,0.9
1219,1430,0.57
1220,1430,0.31
1221,1430,0.84
1222,1430,0.19
1223,1430,0.9
1224,1430,0.27
1225,1430,0.76
1226,1430,0.3
1227,1430,0.85
1228,1431,0.37
1229,1431,0.35
1230,1431,0.87
1231,1431,0.2
1232,1432,0.6
1233,1432,0.4
1234,1432,0.85
1235,1432,0.02
1236,1432,0.68
1237,1432,0.25
1238,1432,1.0
1239,1432,0.7
1240,1432,0.85
1241,1432,1.0
1242,1432,0.8
1243,1432,0.9
1244,1432,0.6
1245,1432,0.8
1246,1432,0.87
1247,1433,0.7
1248,1433,0.69
1249,1433,0.4
1250,1433,0.98
1251,1433,0.9
1252,1433,0.83
1253,1433,0.96
1254,1433,0.96
1255,1433,0.94
1256,1433,0.96
1257,1433,0.95
1258,1433,0.84
1259,1433,0.96
1260,1433,0.92
1261,1433,0.98
1262,1433,0.95
1263,1433,0.94
1264,1433,1.0
1265,1433,0.92
1266,1434,0.72
1267,1434,0.68
1268,1434,0.4
1269,1434,1.0
1270,1434,0.9
1271,1434,0.2
1272,1434,0.65
1273,1434,0.65
1274,1434,0.9
1275,1434,0.89
1276,1434,0.3
1277,1434,0.8
1278,1434,0.8
1279,1435,0.9
1280,1435,0.85
1281,1435,0.5
1282,1435,0.6
1283,1435,0.85
1284,1435,0.4
1285,1435,0.75
1286,1435,0.65
1287,1435,0.5
1288,1435,0.62
1289,1435,0.9
1290,1435,0.94
1291,1435,0.4
1292,1435,0.8
1293,1435,0.7
1294,1436,0.85
1295,1436,0.95
1296,1436,0.9
1297,1436,0.71
1298,1436,0.55
1299,1436,0.85
1300,1436,0.95
1301,1436,0.72
1302,1436,0.93
1303,1440,0.8
1304,1444,0.44
1305,1446,0.8
1306,1463,0.75
1307,1463,0.97
1308,1463,1.0
1309,1463,0.95
1310,1463,1.0
1311,1463,0.97
1312,1463,0.9
1313,1463,0.95
1314,1463,0.92
1315,1465,0.86
1316,1470,0.83
1317,1470,0.85
1318,1471,0.3
1319,1471,0.9
1320,1472,0.6
1321,1472,0.8
1322,1474,0.85
1323,1475,0.59
1324,1480,0.7
1325,1481,1.0
1326,1481,0.7
1327,1483,0.95
1328,1483,0.95
1329,1483,0.8
1330,1483,0.8
1331,1484,0.9
1332,1484,0.9
1333,1484,0.8
1334,1485,0.6
1335,1485,0.87
1336,1485,0.85
1337,1485,0.9
1338,1485,0.8
1339,1485,0.8
1340,1485,0.85
1341,1486,0.8
1342,1486,0.8
1343,1486,0.92
1344,1486,0.85
1345,1486,0.6
1346,1493,0.89
1347,1493,0.75
1348,1493,0.95
1349,1493,0.9
1350,1495,0.85
1351,1513,0.71
1352,1526,0.8
1353,1529,0.85
1354,1529,0.9
1355,1529,0.9
1356,1530,0.5
1357,1531,0.91
1358,1532,0.95
1359,1532,0.67
1360,1532,0.75
1361,1534,0.89
1362,1534,0.78
1363,1535,0.85
1364,1535,0.8
1365,1536,0.86
1366,1537,0.72
1367,1537,0.9
1368,1539,0.8
1369,1539,0.75
1370,1544,0.8
1371,1544,0.7
1372,1545,0.89
1373,1545,0.85
1374,1546,0.99
1375,1546,0.9
1376,1546,0.7
1377,1546,0.6
1378,1546,0.7
1379,1546,0.9
1380,1548,0.69
1381,1548,0.7
1382,1555,0.8
1383,1556,0.92
1384,1556,0.77
1385,1557,0.8
1386,1560,0.93
1387,1560,1.0
1388,1561,0.82
1389,1576,0.6
1390,1590,0.7
1391,1601,0.9
1392,1601,0.85
1393,1601,0.8
1394,1602,0.72
1395,1602,0.8
1396,1603,0.77
1397,1604,0.45
1398,1604,0.6
1399,1604,0.83
1400,1604,0.65
1401,1605,0.96
1402,1605,0.67
1403,1605,0.9
1404,1606,0.6
1405,1606,0.7
1406,1606,0.68
1407,1606,0.75
1408,1609,0.75
1409,1610,0.8
1410,1613,0.95
1411,1613,0.9
1412,1614,0.75
1413,1618,0.78
1414,1618,0.86
1415,1625,0.6
1416,1625,0.55
1417,1633,0.7
1418,1633,0.52
1419,1633,0.8
1420,1633,0.72
1421,1634,0.7
1422,1634,0.9
1423,1635,0.85
1424,1636,0.75
1425,1640,0.72
1426,1640,0.9
1427,1640,0.25
1428,1642,0.7
1429,1646,0.8
1430,1650,0.9
1431,1650,0.9
1432,1651,0.6
1433,1653,0.43
1434,1660,0.8
1435,1660,1.0
1436,1660,1.0
1437,1665,0.81
1438,1669,0.6
1439,1669,0.6
1440,1670,0.89
1441,1670,0.82
1442,1672,0.75
1443,1675,0.75
1444,1675,0.7
1445,1683,0.5
1446,1686,0.96
1447,1686,0.0
1448,1686,1.0
1449,1686,0.99
1450,1686,1.0
1451,1686,1.0
1452,1690,0.6
1453,1691,0.52
1454,1693,0.92
1455,1697,0.77
1456,1697,0.95
1457,1698,0.59
1458,1707,0.84
1459,1707,0.98
1460,1707,0.95
1461,1707,0.9
1462,1707,0.9
1463,1707,0.87
1464,1707,1.0
1465,1707,0.9
1466,1707,0.87
1467,1707,0.78
1468,1708,1.0
1469,1708,0.96
1470,1708,1.0
1471,1708,1.0
1472,1708,0.87
1473,1708,0.89
1474,1708,1.0
1475,1708,0.9
1476,1708,0.95
1477,1708,0.78
1478,1709,0.91
1479,1709,0.95
1480,1709,0.89
1481,1709,0.89
1482,1709,0.97
1483,1709,1.0
1484,1709,0.97
1485,1709,0.92
1486,1709,0.94
1487,1710,0.6
1488,1710,0.92
1489,1710,0.77
1490,1710,0.75
1491,1710,0.93
1492,1710,0.91
1493,1710,0.8
1494,1710,1.0
1495,1710,0.83
1496,1710,0.8
1497,1711,0.83
1498,1711,0.9
1499,1711,0.75
1500,1711,0.97
1501,1711,0.89
1502,1711,0.85
1503,1711,0.83
1504,1711,0.88
1505,1711,0.79
1506,1711,0.86
1507,1711,0.86
1508,1712,0.8
1509,1712,0.73
1510,1712,0.85
1511,1712,0.78
1512,1712,0.75
1513,1712,0.6
1514,1712,0.65
1515,1712,0.35
1516,1713,0.82
1517,1713,0.88
1518,1713,0.97
1519,1713,0.53
1520,1713,0.92
1521,1713,0.8
1522,1714,0.84
1523,1714,0.87
1524,1714,0.97
1525,1714,0.93
1526,1714,0.94
1527,1714,0.98
1528,1714,0.86
1529,1715,0.85
1530,1715,0.84
1531,1715,0.8
1532,1715,0.84
1533,1715,0.8
1534,1715,0.9
1535,1715,0.7
1536,1717,1.0
1537,1719,0.75
1538,1731,0.85
1539,1734,0.8
1540,1734,0.88
1541,1740,0.97
1542,1741,0.5
1543,1742,0.65
1544,1749,0.75
1545,1758,0.85
1546,1759,0.85
1547,1760,1.0
1548,1760,0.98
1549,1760,0.86
1550,1760,0.97
1551,1760,0.7
1552,1760,0.95
1553,1762,0.88
1554,1768,0.85
1555,1769,0.8
1556,1769,0.66
1557,1770,0.95
1558,1770,0.7
1559,1773,0.7
1560,1773,0.7
1561,1773,0.75
1562,1789,0.9
1563,1790,0.8
1564,1790,0.88
1565,1792,0.9
1566,1792,0.8
1567,1793,0.73
1568,1793,0.74
1569,1793,0.75
1570,1794,0.86
1571,1794,0.85
1572,1804,0.75
1573,1805,0.87
1574,1806,0.7
1575,1806,0.85
1576,1807,0.9
1577,1823,0.8
1578,1823,0.6
1579,1823,0.75
1580,1823,0.8
1581,1823,1.0
1582,1823,0.9
1583,1827,0.95
1584,1827,0.79
1585,1828,0.93
1586,1832,0.7
1587,1834,0.47
1588,1843,0.95
1589,1850,0.7
1590,1850,0.7
1591,1850,0.73
1592,1850,0.8
1593,1850,0.75
